previous_block;next_block;direction;default_A-B;default_B-A;switches;time_inter_city;time_regional_train
"KO", "ST", 9, "(1)";"KO-Bugla-Bry-1", "Sem(ST)+SBL", 1, "1", "(2)";Bry-Bugla;Y;N;62,64,69,70,72,74;2;2
"KO", "ST", 9, "(1)";"KO-KTC-1", "SBL", 1, "1", "(2)";KTC;Y;N;62,64,69,71,87,92;2;2
"KO", "ST", 9, "(1)";"KTC-KO-2", "SBL+Sem(ST)", 2, "2", "(2)";KTC;N;Y;62,64,69,71,87,88,91;2;2
"KO", "ST", 9, "(1)";"Rac(KS)", "B-M", 200, "(N/A)";Rac(KS);Y;Y;62,64,69,71,87,88,90,95;3;3
"KO", "ST", 9, "(1)";"KO-Bry", "ST+Sem(PODG)", 3, "1", "(1)";Bry;N;N;62,64,69,71,87,88,90,95;2;2
"KO", "ST", 9, "(1)";"Bry-KO", "PODG+Sem(ST)", 2, "1", "(1)";Bry;N;N;62,64,69,71,87,88,90,93;2;2
"KO", "ST", 7, "(1)";"KO-Bugla-Bry-1", "Sem(ST)+SBL", 1, "1", "(2)";Bry-Bugla;Y;N;61,64,69,70,72,74;2;2
"KO", "ST", 7, "(1)";"KO-KTC-1", "SBL", 1, "1", "(2)";KTC;Y;N;61,64,69,71,87,92;2;2
"KO", "ST", 7, "(1)";"KTC-KO-2", "SBL+Sem(ST)", 2, "2", "(2)";KTC;N;Y;61,64,69,71,87,88,91;2;2
"KO", "ST", 7, "(1)";"Rac(KS)", "B-M", 200, "(N/A)";Rac(KS);Y;Y;61,64,69,71,87,88,90,95;3;3
"KO", "ST", 7, "(1)";"KO-Bry", "ST+Sem(PODG)", 3, "1", "(1)";Bry;N;N;61,64,69,71,87,88,90,95;2;2
"KO", "ST", 7, "(1)";"Bry-KO", "PODG+Sem(ST)", 2, "1", "(1)";Bry;N;N;61,64,69,71,87,88,90,93;2;2
"KO", "ST", 5, "(N/A)";"KO-Bugla-Bry-1", "Sem(ST)+SBL", 1, "1", "(2)";Bry-Bugla;N;N;61,64,69,70,72,74;2;2
"KO", "ST", 5, "(N/A)";"KO-KTC-1", "SBL", 1, "1", "(2)";KTC;N;N;61,64,69,71,87,92;2;2
"KO", "ST", 5, "(N/A)";"KTC-KO-2", "SBL+Sem(ST)", 2, "2", "(2)";KTC;N;N;61,64,69,71,87,88,91;2;2
"KO", "ST", 5, "(N/A)";"Rac(KS)", "B-M", 200, "(N/A)";Rac(KS);N;N;61,64,69,71,87,88,90,95;3;3
"KO", "ST", 5, "(N/A)";"KO-Bry", "ST+Sem(PODG)", 3, "1", "(1)";Bry;N;N;61,64,69,71,87,88,90,95;2;2
"KO", "ST", 5, "(N/A)";"Bry-KO", "PODG+Sem(ST)", 2, "1", "(1)";Bry;N;N;61,64,69,71,87,88,90,93;2;2
"KO", "ST", 3, "(2)";"KO-Bugla-Bry-1", "Sem(ST)+SBL", 1, "1", "(2)";Bry-Bugla;Y;N;65,68,70,72,74;2;2
"KO", "ST", 3, "(2)";"KO-KTC-1", "SBL", 1, "1", "(2)";KTC;Y;N;65,68,71,87,92;2;2
"KO", "ST", 3, "(2)";"KTC-KO-2", "SBL+Sem(ST)", 2, "2", "(2)";KTC;N;Y;65,67,85,88,91;2;2
"KO", "ST", 3, "(2)";"Rac(KS)", "B-M", 200, "(N/A)";Rac(KS);Y;Y;65,67,85,88,90,95;3;3
"KO", "ST", 3, "(2)";"KO-Bry", "ST+Sem(PODG)", 3, "1", "(1)";Bry;N;N;65,67,85,88,90,95;2;2
"KO", "ST", 3, "(2)";"Bry-KO", "PODG+Sem(ST)", 2, "1", "(1)";Bry;N;N;65,67,85,88,90,93;2;2
"KO", "ST", 1, "(2)";"KO-Bugla-Bry-1", "Sem(ST)+SBL", 1, "1", "(2)";Bry-Bugla;Y;N;66,68,70,72,74;2;2
"KO", "ST", 1, "(2)";"KO-KTC-1", "SBL", 1, "1", "(2)";KTC;Y;N;66,68,71,87,92;2;2
"KO", "ST", 1, "(2)";"KTC-KO-2", "SBL+Sem(ST)", 2, "2", "(2)";KTC;N;Y;66,67,85,88,91;2;2
"KO", "ST", 1, "(2)";"Rac(KS)", "B-M", 200, "(N/A)";Rac(KS);Y;Y;66,67,85,88,90,95;3;3
"KO", "ST", 1, "(2)";"KO-Bry", "ST+Sem(PODG)", 3, "1", "(1)";Bry;N;N;66,67,85,88,90,95;2;2
"KO", "ST", 1, "(2)";"Bry-KO", "PODG+Sem(ST)", 2, "1", "(1)";Bry;N;N;66,67,85,88,90,93;2;2
"KO", "ST", 2, "(3)";"KO-KTC-1", "SBL", 1, "1", "(2)";KTC;N;Y;81,85,88,81,92;2;2
"KO", "ST", 2, "(3)";"KTC-KO-2", "SBL+Sem(ST)", 2, "2", "(2)";KTC;N;Y;81,85,88,91;2;2
