;Arr;Dep;Label;Shunting
####;;;;
KS - Os;;;;
94766;;;;
S5;;;;
from Zwardoń;;;;
"""KL"", ""ST"", 2, ""(2)""";15:57;15:57;Katowice Ligota;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";16:00;16:00;Katowice Brynów;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";;;;
"""KO"", ""ST"", 8, ""(4)""";16:04;;Katowice;
"""KO"", ""ST-M"", 1114, ""(N/A)""";;;;Y
terminates in Katowice;;;;
####;;;;
IC - IC;;;;
26103;;;;
BOLKO;;;;
from Lublin Główny;;;;
"""KZ"", ""ST"", 1, ""(1)""";;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;
"""KO"", ""ST"", 7, ""(1)""";16:04;16:11;Katowice;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";;;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;
"""CB"", ""ST"", 1, ""(1)""";;;;
to Wrocław Główny;;;;
####;;;;
IC - IC;;;;
42100;;;;
SZTYGAR;;;;
departs from Katowice;;;;
"""KO(IC)"", ""B-M"", 500, ""(N/A)""";;;;Y
"""KO"", ""ST"", 114, ""(N/A)""";;;;Y
"""KO"", ""ST"", 2, ""(3)""";;16:08;Katowice;
"""KO"", ""ST"", 114, ""(N/A)""";;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";;;;
"""KZ"", ""ST"", 2, ""(1)""";;;;
to Lublin Główny;;;;
####;;;;
IC - IC;;;;
5312;;;;
PIAST;;;;
from Gdynia Główna via Wrocław;;;;
"""CB"", ""ST"", 2, ""(1)""";;;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";;;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";;;;
"""KO"", ""ST"", 4, ""(3)""";16:06;16:09;Katowice;
"""KO"", ""ST"", 114, ""(N/A)""";;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 4, ""1"", ""(1)""";;;;
"""KZ"", ""ST"", 4, ""(2)""";;;;
to Kraków Główny;;;;
####;;;;
KS - Os;;;;
40518;;;;
S4;;;;
from Tychy Lodowisko;;;;
"""KL"", ""ST"", 2, ""(2)""";16:03;16:03;Katowice Ligota;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";16:06;16:06;Katowice Brynów;
