;Arr;Dep;Approx_enter;Label;Shunting;
####;;;;;;
KS - Os;;;;;;
94766;;;;;;
S5;;;;;;
from ZwardoÅ„;;;;;;Czy zaczynamy od Kob-Ty-6 czy od stacji? Kiedy tak, a kiedy tak?
"""Kob-Ty-6"", ""SBL+Sem(ST)"", 2, ""6"", ""(6)""";;;15:44;;;Czy ten czas jest potrzebny? Mamy dobry odjazd z Tychów
"""Ty"", ""ST"", 2, ""(2)""";15:46;15:47;;;;
"""Ty"", ""ST"", 102, ""(N/A)""";;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";15:51;15:51;;Katowice Podlesie;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";;;;;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";;;;;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";15:54;15:54;;Katowice Piotrowice;;
"""KL"", ""ST"", 2, ""(2)""";15:57;15:57;15:57;Katowice Ligota;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";16:00;16:00;;Katowice BrynÃ³w;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";;;;;;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";;;;;;
"""KO"", ""ST"", 8, ""(4)""";16:04;;;Katowice;;
"""KO"", ""ST-M"", 1114, ""(N/A)""";;;;;Y;
terminates in Katowice;;;;;;Czy nie powinniœmy mu dodaæ 3 minuty przez shuntingiem?
####;;;;;;
IC - IC;;;;;;
26103;;;;;;
BOLKO;;;;;;
from Lublin GÅ‚Ã³wny;;;;;;
"""KZ"", ""ST"", 1, ""(1)""";;;16:00;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";;;;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;;;
"""KO"", ""ST"", 7, ""(1)""";16:04;16:11;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";;;;;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;;;
"""CB"", ""ST"", 1, ""(1)""";16:17;16:17;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";;;;;;
"""CB-RCB-2"", ""SBL+PO(Œwiêtoch³owice)"", 1, ""2"", ""(3)""";;;;;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";;;;;;
"""RCB"", ""ST"", 1, ""(1)""";;;;;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";;;;;;
