;speed;Arr;Dep;Approx_enter;Label;Shunting;Turnaround_time_minutes
####;;;;;;;
KS - Os;;;;;;;
94766;;;;;;;
S5;;;;;;;
from Zwardoń;;;;;;;
"""Kob-Ty-6"", ""SBL+Sem(ST)"", 2, ""6"", ""(6)""";R;;;;;;
"""Ty"", ""ST"", 2, ""(2)""";R;15:46;15:47;;;;
"""Ty"", ""ST"", 102, ""(N/A)""";R;;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";R;;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";R;;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";R;15:51;15:51;;Katowice Podlesie;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;15:54;15:54;;Katowice Piotrowice;;
"""KL"", ""ST"", 2, ""(2)""";R;15:57;15:57;;Katowice Ligota;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;16:00;16:00;;Katowice Brynów;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";R;;;;;;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;16:04;;;Katowice;;
"""KO"", ""ST-M"", 1114, ""(N/A)""";R;;;16:07;;Y;
terminates in Katowice;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
26103;;;;;;;
BOLKO;;;;;;;
from Lublin Główny;;;;;;;
"""SG-KZ"", ""SBL"", 1, ""3"", ""(3)""";IC;;;;;;
"""KZ"", ""ST"", 1, ""(1)""";IC;;;16:00;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";IC;;;;;;
"""KO"", ""ST"", 117, ""(N/A)""";IC;;;;;;
"""KO"", ""ST"", 7, ""(1)""";IC;16:04;16:11;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";IC;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";IC;;;;;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";IC;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";IC;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;16:17;16:17;;Chorz�w Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";IC;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";IC;;;;;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";IC;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";IC;;;;;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";IC;;;;;;
